# kana<TAB>surface — longest-match lookup, before CTC. Lines starting with
# # are comments. Run-level match: the whole kana segment between non-kana
# boundaries must equal the key, or a prefix of it (longest-prefix wins).
みり	ミリ
きろ	キロ
めが	メガ
まいくろ	マイクロ
なの	ナノ
ぴこ	ピコ
みりびょう	ミリ秒
まいくろびょう	マイクロ秒
なのびょう	ナノ秒
せんち	センチ
でし	デシ
ぎが	ギガ
てら	テラ
ぺた	ペタ
えくさ	エクサ
きろばいと	キロバイト
めがばいと	メガバイト
ぎがばいと	ギガバイト
てらばいと	テラバイト
こんぴゅーた	コンピュータ
こんぴゅーたー	コンピューター
ぱそこん	パソコン
きーぼーど	キーボード
まうす	マウス
ぷろぐらむ	プログラム
ぷろぐらみんぐ	プログラミング
あぷり	アプリ
あぷりけーしょん	アプリケーション
いんたーねっと	インターネット
ねっとわーく	ネットワーク
ぷりんたー	プリンター
すきゃなー	スキャナー
うぇぶ	ウェブ
さーば	サーバ
さーばー	サーバー
くらいあんと	クライアント
でーた	データ
でーたべーす	データベース
あるごりずむ	アルゴリズム
こーでぃんぐ	コーディング
でばっぐ	デバッグ
こんぱいる	コンパイル
りんく	リンク
らいぶらり	ライブラリ
ふれーむわーく	フレームワーク
てんぷれーと	テンプレート
ぱたーん	パターン
おぶじぇくと	オブジェクト
めもり	メモリ
めもりー	メモリー
すとれーじ	ストレージ
かーねる	カーネル
ぷろせす	プロセス
すれっど	スレッド
ぽいんた	ポインタ
ぽいんたー	ポインター
はっしゅ	ハッシュ
えんくりぷと	エンクリプト
ぱすわーど	パスワード
あかうんと	アカウント
ろぐいん	ログイン
ろぐあうと	ログアウト
ぶらうざ	ブラウザ
ぶらうざー	ブラウザー
かんたんふ	感嘆符
ぎもんふ	疑問符
くとうてん	句読点
あかさたなじゅん	あかさたな順

# Homophones: repeat kana on separate lines, each mapping to one surface.
# LM scores them in context at decode time. Ordering here just gives a
# deterministic tie-break when contexts are identical.
せいさん	生産
せいさん	精算
せいさん	清算
せいさん	成算
せいさん	青酸
はし	橋
はし	箸
はし	端
はし	走
かえる	帰る
かえる	変える
かえる	替える
かえる	代える
かえる	返る
かえる	蛙
とる	取る
とる	撮る
とる	採る
とる	執る
とる	捕る
あける	開ける
あける	空ける
あける	明ける
はやい	早い
はやい	速い
あつい	暑い
あつい	熱い
あつい	厚い
みる	見る
みる	観る
みる	診る
きく	聞く
きく	聴く
きく	効く
きく	利く
つく	付く
つく	着く
つく	就く
つく	突く
すすむ	進む
すすむ	勧む
ひく	引く
ひく	弾く
ひく	轢く
いる	居る
いる	要る
いる	射る
いる	鋳る
しめる	閉める
しめる	締める
しめる	湿る
しめる	占める
まう	舞う
まう	舞
あう	会う
あう	合う
あう	遭う
のる	乗る
のる	載る
たつ	立つ
たつ	建つ
たつ	発つ
たつ	経つ
とぶ	飛ぶ
とぶ	跳ぶ
なく	泣く
なく	鳴く
なく	無く
かく	書く
かく	描く
かく	掻く
かく	欠く
よむ	読む
よむ	詠む
いう	言う
いう	云う
やる	やる
やる	遣る
きる	切る
きる	着る
きる	斬る
みち	道
みち	未知
はな	花
はな	鼻
はな	華
じゅん	順
じゅん	準
じゅん	純
しんりん	森林
しんりん	新任
こうえん	公園
こうえん	講演
こうえん	公演
こうえん	後援
しょうぎ	将棋
しょうぎ	床机
こうか	効果
こうか	高価
こうか	降下
こうか	校歌
こうか	工科
こうか	後果
きかい	機会
きかい	機械
きかい	器械
きかい	奇怪
きょうかい	教会
きょうかい	境界
きょうかい	協会
きょうかい	強化
こうしょう	交渉
こうしょう	公称
こうしょう	高尚
しじ	支持
しじ	指示
しじ	師事
かんしん	関心
かんしん	感心
かんしん	歓心
かんしょう	観賞
かんしょう	鑑賞
かんしょう	感傷
かんしょう	干渉
かんじょう	勘定
かんじょう	感情
じょうき	蒸気
じょうき	上記
じょうき	常軌
こうじょう	工場
こうじょう	向上
こうじょう	交情
こうせい	構成
こうせい	更生
こうせい	公正
こうせい	校正
こうせい	恒星
こうせい	後世
たいしょう	対象
たいしょう	対称
たいしょう	対照
たいしょう	大将
たいしょう	大勝
たいしょう	大正
はっけん	発見
はっけん	派遣
よる	夜
よる	寄る
よる	因る
よる	依る
あう	会う
あう	合う
ある	有る
ある	在る
いぬ	犬
いぬ	狗
いぬ	戌
くも	雲
くも	蜘蛛
さく	咲く
さく	裂く
さく	策
さく	割く
もの	物
もの	者
こころ	心
すき	好き
すき	隙
すき	鋤
すく	空く
すく	好く
すく	抄く
やく	焼く
やく	役
やく	訳
やく	約
やく	益
やま	山
やま	止
いと	糸
いと	意図
きえる	消える
おりる	下りる
おりる	降りる
こえる	越える
こえる	超える
